ntp 4.2.8.p10-2
ocl-icd 2.2.11-1
open-fuse-iso 1.1-1
openal 1.18.2-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg2 2.2.0-1
openresolv 3.9.0-1
openssh 7.6p1-1
openssl 1.1.0.f-2
openssl-1.0 1.0.2.l-1
openvpn 2.4.4-1
opus 1.2.1-1
orc 0.4.27-1
os-prober 1.76-1
p11-kit 0.23.8-1
p7zip 16.02-3
package-query 1.9-2
pacli 0.10-3
pacman 5.0.2-2
pacman-mirrors 4.2.3-2
palemoon-bin 27.5.0-1
pam 1.3.0-1
pamac 6.1.2-1
pambase 20130928-1
pango 1.40.12-1
pangomm 2.40.1-2
parted 3.2-5
patch 2.7.5-1
pciutils 3.5.5-1
pcmanfm 1.2.5-2
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
pcsclite 1.8.22-1
pepper-flash 27.0.0.130-1
perl 5.26.1-1
perl-clone 0.39-4
perl-dbi 1.637-3
perl-error 0.17025-2
perl-file-basedir 0.07-3
perl-file-desktopentry 0.22-3
perl-file-mimeinfo 0.28-3
perl-ipc-system-simple 1.25-3
perl-uri 1.72-2
perl-xml-libxml 2.0129-4
perl-xml-namespacesupport 1.12-2
perl-xml-sax 0.99-5
perl-xml-sax-base 1.09-2
pinentry 1.0.0-1
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
polkit 0.113+29+g3272a98-1
polkit-gnome 0.105-3
polkit-qt5 0.112.0+git20160226-1
poppler 0.59.0-1
poppler-data 0.4.8-1
poppler-glib 0.59.0-1
popt 1.16-9
postgresql 9.6.5-1
postgresql-libs 9.6.5-1
powertop 2.9-1
ppp 2.4.7-4
pptpclient 1.8.0-2
procps-ng 3.3.12-1
psmisc 23.1-1
pygobject-devel 3.24.1-1
pygobject2-devel 2.28.6-13
pygtk 2.24.0-7
pyqt5-common 5.9-1
python 3.6.2-1
python-appdirs 1.4.3-1
python-beaker 1.8.1-2
python-cairo 1.13.3-1
python-chardet 3.0.4-1
python-dbus 1.2.4-2
python-dbus-common 1.2.4-2
python-gobject 3.24.1-1
python-idna 2.6-1
python-mako 1.0.7-1
python-markupsafe 1.0-1
python-npyscreen 4.10.5-1
python-packaging 16.8-2
python-pycups 1.9.73-3
python-pycurl 7.43.0-3
python-pyparsing 2.2.0-1
python-pyqt5 5.9-1
python-requests 2.18.4-1
python-setuptools 1:36.5.0-1
python-sip 4.19.3-1
python-six 1.11.0-1
python-urllib3 1.22-1
python2 2.7.14-1
python2-cairo 1.13.3-1
python2-gobject2 2.28.6-13
qpdf 7.0.0-1
qt-installer-framework 2.0.3-2
qt5-base 5.9.1-5
qt5-declarative 5.9.1-5
qt5-location 5.9.1-2
qt5-sensors 5.9.1-2
qt5-styleplugins 5.0.0-6
qt5-svg 5.9.1-2
qt5-tools 5.9.1-4
qt5-webchannel 5.9.1-2
qt5-webkit 5.212.0alpha2-4
qt5-x11extras 5.9.1-2
qt5-xmlpatterns 5.9.1-2
qt5ct 0.33-2
randrproto 1.5.0-1
ranger 1.8.1-1
re2 20170801-1
readline 7.0.003-1
recordproto 1.14.2-2
reiserfsprogs 3.6.25-1
renderproto 0.11.1-3
rfkill 0.5-2
rhash 1.3.5-2
rpcbind 0.2.4-3
rsync 3.1.2-3
rtmpdump 1:2.4.r96.fa8646d-3
run-parts 4.8.1-1
rxvt-unicode 9.22-5
rxvt-unicode-terminfo 9.22-5
s-nail 14.9.4-1
sbc 1.3-1
sbxkb 0.7.6-2
schroedinger 1.0.11-3
screenfetch 3.8.0.r45.ga0bffe0-1
scrnsaverproto 1.2.2-2
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.6-2
sdl_image 1.2.12-4
sed 4.4-1
semver 5.4.1-1
sg3_utils 1.42-1
shadow 4.5-2
shared-mime-info 1.9-1
sip 4.19.3-1
slack-desktop 2.8.1-1
